provincias,year,total_denuncias
PAUCAR DEL SARA SARA,2023,89
PAUCAR DEL SARA SARA,2024,5
PAUCARTAMBO,2018,25
PAUCARTAMBO,2019,28
PAUCARTAMBO,2020,73
PAUCARTAMBO,2021,83
PAUCARTAMBO,2022,97
PAUCARTAMBO,2023,106
PAUCARTAMBO,2024,4
PICOTA,2018,57
PICOTA,2019,127
PICOTA,2020,104
PICOTA,2021,113
PICOTA,2022,98
PICOTA,2023,171
PICOTA,2024,32
PISCO,2018,1935
PISCO,2019,2584
PISCO,2020,1724
PISCO,2021,1827
PISCO,2022,2209
PISCO,2023,2247
PISCO,2024,283
PIURA,2018,9313
PIURA,2019,11542
PIURA,2020,8780
PIURA,2021,9340
PIURA,2022,14529
PIURA,2023,17658
PIURA,2024,2702
POMABAMBA,2018,29
POMABAMBA,2019,21
POMABAMBA,2020,51
POMABAMBA,2021,33
POMABAMBA,2022,121
POMABAMBA,2023,148
POMABAMBA,2024,32
PUERTO INCA,2018,6
PUERTO INCA,2019,95
PUERTO INCA,2020,123
PUERTO INCA,2021,171
PUERTO INCA,2022,239
PUERTO INCA,2023,187
PUERTO INCA,2024,22
PUNO,2018,782
PUNO,2019,919
PUNO,2020,695
PUNO,2021,1396
PUNO,2022,1703
PUNO,2023,2767
PUNO,2024,591
PURUS,2020,1
PURUS,2021,9
PURUS,2022,5
PURUS,2023,3
QUISPICANCHI,2018,149
QUISPICANCHI,2019,243
QUISPICANCHI,2020,141
QUISPICANCHI,2021,277
QUISPICANCHI,2022,264
QUISPICANCHI,2023,372
QUISPICANCHI,2024,65
RECUAY,2018,90
RECUAY,2019,98
RECUAY,2020,82
RECUAY,2021,114
RECUAY,2022,117
RECUAY,2023,117
RECUAY,2024,21
REQUENA,2018,76
REQUENA,2019,54
REQUENA,2020,27
REQUENA,2021,28
REQUENA,2022,57
REQUENA,2023,33
REQUENA,2024,6
RIOJA,2018,869
