año_hecho,departamen,provincia,distrito,denuncias_dep,geom
2021,PIURA,PIURA,CASTILLA,4,-80.610223095|-80.6210409999999|-80.6221599|-80.622106241|-5.19137938499995|-5.19802649999997|-5.18968939999996|-5.20331228699996
2021,PIURA,PIURA,LA ARENA,1,-80.709894381|-5.33651590199997
2021,PIURA,PIURA,LA UNION,2,-80.7468731|-80.7401247|-5.40254689999995|-5.39212069999996
2021,PIURA,PIURA,PIURA,7,-80.6265388|-80.6365071|-80.6339056|-80.6545414|-80.647596|-80.6548882|-5.19316519999995|-5.20733489999998|-5.18876889999996|-5.17023089999998|-5.16845099999995|-5.17828839999993
2021,PIURA,SULLANA,BELLAVISTA,2,-80.6743053|-80.6795066|-4.88812469999994|-4.88968799999998
2021,PIURA,TALARA,MANCORA,4,-81.0451037|-81.0504094999999|-4.10347819999993|-4.10516219999994
2021,PIURA,TALARA,PARIÑAS,5,-81.2628961|-4.58115199999998
2021,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,4,-70.2483454|-70.2516849|-70.2443024|-18.0467692999999|-18.0429986|-18.0286389
2021,TACNA,TACNA,POCOLLAY,2,-70.2305699|-70.2223893999999|-18.0028571999999|-18.0047236999999
2021,TACNA,TACNA,TACNA,3,-70.2725886|-70.2462740999999|-18.0334963|-18.0065678999999
2021,TUMBES,TUMBES,TUMBES,3,-80.4504297|-80.4589900999999|-3.58549229999994|-3.56932749999993
2021,UCAYALI,PADRE ABAD,NESHUYA,1,-74.9641736|-8.63984889999995
2022,ANCASH,AIJA,LA MERCED,1,-77.615642742|-9.73528529699996
2022,ANCASH,ASUNCION,CHACAS,1,-77.367293885|-9.16314868999996
2022,ANCASH,BOLOGNESI,AQUIA,1,-77.095297|-9.95828159999996
2022,ANCASH,CARHUAZ,CARHUAZ,2,-77.6450215|-9.28174399999995
2022,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,3,-77.328135|-9.09561869999993
2022,ANCASH,CASMA,YAUTAN,1,-77.995277|-9.51318909999998
2022,ANCASH,HUARAZ,HUARAZ,1,-77.532013944|-9.53561161499994
2022,ANCASH,HUARI,HUARI,2,-77.1730951|-77.1719424|-9.35012449999994|-9.34808239999995
2022,ANCASH,HUAYLAS,CARAZ,15,-77.807605488|-77.8080560989999|-77.811339123|-77.809721751|-77.808766884|-77.809998018|-77.8109958|-77.809622509|-77.810504956|-77.811854107|-77.8073050799999|-9.04926875799993|-9.04664773599995|-9.04832577499997|-9.04653515999996|-9.04614842899997|-9.04833107199994|-9.04849529999996|-9.04925816199995|-9.05029385099994|-9.04955483099997|-9.05184340599993
2022,ANCASH,HUAYLAS,HUALLANCA,1,-77.891875704|-8.77669687499997
2022,ANCASH,RECUAY,RECUAY,1,-77.4530169|-9.72838239999993
2022,ANCASH,YUNGAY,CASCAPARA,1,-77.7170313999999|-9.22624929999995
2022,APURIMAC,ABANCAY,ABANCAY,6,-72.8986544649999|-72.8758988179999|-72.8806821|-72.8834267999999|-72.883201132|-72.8869238|-13.64447604|-13.635243806|-13.6314715|-13.6306939999999|-13.6327101639999|-13.6323371999999
2022,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,9,-73.413432177|-73.39009134|-73.3767756999999|-73.3767641|-73.3741052999999|-13.664598675|-13.660220528|-13.6611602999999|-13.6616515|-13.6569828
2022,APURIMAC,COTABAMBAS,HAQUIRA,1,-72.189663|-14.2131535999999
2022,APURIMAC,GRAU,PROGRESO,1,-72.4742969|-14.0749160999999
2022,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,5,-71.5301231|-71.5141522|-71.5191942|-71.5224108|-16.3795615999999|-16.3767399999999|-16.3780054|-16.3640634
2022,AREQUIPA,AREQUIPA,AREQUIPA,10,-71.5356732|-71.5265992|-71.5298914|-71.5331739|-71.5340118|-71.5385756|-71.5391577|-71.537451|-71.5358355|-71.5313313999999|-16.3911663|-16.3980399|-16.4019451999999|-16.4009037|-16.400233|-16.3976774999999|-16.3952136|-16.4090474|-16.4050771|-16.4057703999999
2022,AREQUIPA,AREQUIPA,CAYMA,9,-71.5408864|-71.5445759|-71.548007|-71.5511753|-71.5537686|-71.5462072|-71.5451668|-71.546424|-71.5504065|-16.3462342999999|-16.334009|-16.3336995999999|-16.3350836999999|-16.3775021|-16.3615078|-16.3748381|-16.3854365999999|-16.3888633
2022,AREQUIPA,AREQUIPA,CERRO COLORADO,22,-71.5814137|-71.620092058|-71.6033593|-71.6013250999999|-71.5482808|-71.5627711|-71.5615692|-71.5640283|-71.5625428|-71.5574599|-71.5601359|-71.5547495|-71.5545738|-71.5526618|-71.5603813|-71.567519|-71.5710971|-16.3427149999999|-16.328870094|-16.3175836999999|-16.3161385|-16.3117614|-16.355048|-16.3534086|-16.3520018999999|-16.3810220999999|-16.3758096|-16.3760756|-16.3800522999999|-16.3797375999999|-16.3905392|-16.3947120999999|-16.3915671|-16.3959563
2022,AREQUIPA,AREQUIPA,CHARACATO,2,-71.4844937999999|-71.4829052|-16.4691549999999|-16.4728797999999
2022,AREQUIPA,AREQUIPA,JACOBO HUNTER,5,-71.5547998|-71.5548944|-71.556724|-71.553071294|-71.5639654|-16.4407772|-16.4478086999999|-16.4391171999999|-16.451978959|-16.4524001
